From,To,Label,Type,Tags,Description,category,confidence,flat,negative,positive,skip,fromName,toName,Source,Target,votes,fracPos,fracNeg,fracFlat,sign,isPos,isNeg,new_sign
65,9,,,,,all,2.333333333333333,0,0,3,0,their ability to empathize with and understand other perspectives,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),65,9,3,1.0,0.0,0.0,positive,1,0,positive
5,22,,,,,all,2.5,0,0,3,1,"their access to resources of daily life (food, shelter, safe environment, money)","time they spend connecting with others toward a shared goal, mission, faith, culture, interest",5,22,3,1.0,0.0,0.0,positive,1,0,positive
50,64,,,,,all,2.333333333333333,0,0,3,0,their ability to evaluate the emotional risk before an action they want to take,their ability to recover and learn from their mistakes,50,64,3,1.0,0.0,0.0,positive,1,0,positive
18,63,,,,,all,2.6666666666666665,0,0,3,0,the number of places and groups of people where they are welcome and appreciated,their ability to trust that adults in their life have their best interests at heart,18,63,3,1.0,0.0,0.0,positive,1,0,positive
18,71,,,,,all,2.25,0,0,4,0,the number of places and groups of people where they are welcome and appreciated,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",18,71,4,1.0,0.0,0.0,positive,1,0,positive
69,23,,,,,all,2.2,1,0,3,0,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest","their participation in positive events that are fun, joyous, and exciting",69,23,4,0.75,0.0,0.25,positive,1,0,positive
4,12,,,,,all,2.25,1,0,3,0,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",the time they spend with friends in person,4,12,4,0.75,0.0,0.25,positive,1,0,positive
10,44,,,,,all,2.0,0,4,0,0,the time they spend with others online,their ability to control or manage personal information they disclose online,10,44,4,0.0,1.0,0.0,negative,0,1,positive
57,47,,,,,all,2.75,0,0,4,0,their belief that they are part of a community,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",57,47,4,1.0,0.0,0.0,positive,1,0,positive
73,53,,,,,all,2.0,0,0,4,0,their ability to get enough sleep,their ability to recognize mental health challenges they should seek support for,73,53,4,1.0,0.0,0.0,positive,1,0,positive
47,23,,,,,all,2.6,0,0,5,0,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)","their participation in positive events that are fun, joyous, and exciting",47,23,5,1.0,0.0,0.0,positive,1,0,positive
15,2,,,,,all,2.25,1,0,3,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",their access to mental health resources,15,2,4,0.75,0.0,0.25,positive,1,0,positive
75,70,,,,,all,2.25,1,0,3,0,their ability to set goals and take actions towards those goals,their ability to explore their identity safely,75,70,4,0.75,0.0,0.25,positive,1,0,positive
14,46,,,,,all,2.2,1,0,3,1,their ability to tell their friends about their life and experiences,their ability to face and overcome challenges,14,46,4,0.75,0.0,0.25,positive,1,0,positive
33,23,,,,,all,2.75,0,0,4,0,their ability to engage with systems and institutions designed to support them,"their participation in positive events that are fun, joyous, and exciting",33,23,4,1.0,0.0,0.0,positive,1,0,positive
61,60,,,,,all,2.333333333333333,0,0,3,0,their belief that they will be found if they get lost,their level of self-esteem,61,60,3,1.0,0.0,0.0,positive,1,0,positive
53,47,,,,,all,2.25,1,0,3,0,their ability to recognize mental health challenges they should seek support for,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",53,47,4,0.75,0.0,0.25,positive,1,0,positive
64,60,,,,,all,2.25,0,0,4,0,their ability to recover and learn from their mistakes,their level of self-esteem,64,60,4,1.0,0.0,0.0,positive,1,0,positive
0,54,,,,,all,2.6666666666666665,0,0,3,0,"their access to trusted information about mental, physical and sexual health & development","their ability to know who their real, trusted friends are",0,54,3,1.0,0.0,0.0,positive,1,0,positive
15,51,,,,,all,2.75,0,0,4,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",their ability to take a long term perspective during challenging times,15,51,4,1.0,0.0,0.0,positive,1,0,positive
70,43,,,,,all,2.6666666666666665,0,0,3,0,their ability to explore their identity safely,their ability to find others like them,70,43,3,1.0,0.0,0.0,positive,1,0,positive
24,8,,,,,all,2.25,0,0,3,1,their awareness of other people's lives and experiences,their having close friends,24,8,3,1.0,0.0,0.0,positive,1,0,positive
47,4,,,,,all,2.25,0,0,3,1,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)","their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",47,4,3,1.0,0.0,0.0,positive,1,0,positive
6,59,,,,,all,2.333333333333333,0,0,3,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",their level of self confidence,6,59,3,1.0,0.0,0.0,positive,1,0,positive
49,60,,,,,all,2.0,0,0,3,1,their assurance that they are not not alone and have others to depend on,their level of self-esteem,49,60,3,1.0,0.0,0.0,positive,1,0,positive
70,33,,,,,all,2.25,0,1,3,0,their ability to explore their identity safely,their ability to engage with systems and institutions designed to support them,70,33,4,0.75,0.25,0.0,positive,1,0,positive
5,70,,,,,all,2.0,0,0,4,1,"their access to resources of daily life (food, shelter, safe environment, money)",their ability to explore their identity safely,5,70,4,1.0,0.0,0.0,positive,1,0,positive
61,75,,,,,all,2.1666666666666665,1,0,3,1,their belief that they will be found if they get lost,their ability to set goals and take actions towards those goals,61,75,4,0.75,0.0,0.25,positive,1,0,positive
6,74,,,,,all,2.25,0,0,3,1,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",their ability to consider the purpose and meaning of a good life,6,74,3,1.0,0.0,0.0,positive,1,0,positive
2,47,,,,,all,2.75,1,0,3,0,their access to mental health resources,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",2,47,4,0.75,0.0,0.25,positive,1,0,positive
35,14,,,,,all,1.75,0,0,4,0,their ability to recover from negative or adverse events that happen to them (online or in person),their ability to tell their friends about their life and experiences,35,14,4,1.0,0.0,0.0,positive,1,0,positive
33,40,,,,,all,2.0,0,0,4,0,their ability to engage with systems and institutions designed to support them,their ability to cope with and overcome hardship or challenges in their life,33,40,4,1.0,0.0,0.0,positive,1,0,positive
64,51,,,,,all,2.25,0,0,4,0,their ability to recover and learn from their mistakes,their ability to take a long term perspective during challenging times,64,51,4,1.0,0.0,0.0,positive,1,0,positive
29,25,,,,,all,2.1666666666666665,0,0,6,0,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",their exposure to hurtful/hateful personal content (like mocking and bullying),29,25,6,1.0,0.0,0.0,positive,1,0,positive
47,18,,,,,all,2.4,1,0,4,0,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",the number of places and groups of people where they are welcome and appreciated,47,18,5,0.8,0.0,0.2,positive,1,0,positive
72,37,,,,,all,2.0,0,0,3,0,their ability to relax when they're stressed,their ability to cope with anxious feelings,72,37,3,1.0,0.0,0.0,positive,1,0,positive
44,25,,,,,all,2.5,0,1,3,0,their ability to control or manage personal information they disclose online,their exposure to hurtful/hateful personal content (like mocking and bullying),44,25,4,0.75,0.25,0.0,positive,1,0,positive
12,35,,,,,all,2.5,1,0,3,0,the time they spend with friends in person,their ability to recover from negative or adverse events that happen to them (online or in person),12,35,4,0.75,0.0,0.25,positive,1,0,positive
76,42,,,,,all,2.2,0,0,4,1,their ability to recognize when they're going gown down a trap of negative content or comments,their ability to cope with feelings of being lonely,76,42,4,1.0,0.0,0.0,positive,1,0,positive
26,13,,,,,all,2.333333333333333,0,0,3,0,"their exposure to positive parenting (consistent, respectful, supportive)",their awareness of what's happening among their friends,26,13,3,1.0,0.0,0.0,positive,1,0,positive
30,72,,,,,all,2.0,0,3,0,1,their ability to compare their life to other people's lives,their ability to relax when they're stressed,30,72,3,0.0,1.0,0.0,negative,0,1,positive
25,76,,,,,all,1.6666666666666667,0,3,0,0,their exposure to hurtful/hateful personal content (like mocking and bullying),their ability to recognize when they're going gown down a trap of negative content or comments,25,76,3,0.0,1.0,0.0,negative,0,1,positive
65,63,,,,,all,2.0,0,0,4,0,their ability to empathize with and understand other perspectives,their ability to trust that adults in their life have their best interests at heart,65,63,4,1.0,0.0,0.0,positive,1,0,positive
33,46,,,,,all,2.333333333333333,0,0,3,0,their ability to engage with systems and institutions designed to support them,their ability to face and overcome challenges,33,46,3,1.0,0.0,0.0,positive,1,0,positive
40,45,,,,,all,3.0,0,0,4,0,their ability to cope with and overcome hardship or challenges in their life,their ability to disconnect from electronic devices,40,45,4,1.0,0.0,0.0,positive,1,0,positive
13,52,,,,,all,2.5,1,0,3,0,their awareness of what's happening among their friends,the amount of external recognition or validation they receive for something good they did,13,52,4,0.75,0.0,0.25,positive,1,0,positive
28,18,,,,,all,2.5,1,0,3,0,"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)",the number of places and groups of people where they are welcome and appreciated,28,18,4,0.75,0.0,0.25,positive,1,0,positive
45,12,,,,,all,2.5,0,0,4,0,their ability to disconnect from electronic devices,the time they spend with friends in person,45,12,4,1.0,0.0,0.0,positive,1,0,positive
49,69,,,,,all,2.5,1,0,3,0,their assurance that they are not not alone and have others to depend on,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",49,69,4,0.75,0.0,0.25,positive,1,0,positive
40,50,,,,,all,2.5,0,0,3,1,their ability to cope with and overcome hardship or challenges in their life,their ability to evaluate the emotional risk before an action they want to take,40,50,3,1.0,0.0,0.0,positive,1,0,positive
37,12,,,,,all,2.25,1,0,3,0,their ability to cope with anxious feelings,the time they spend with friends in person,37,12,4,0.75,0.0,0.25,positive,1,0,positive
41,49,,,,,all,2.0,0,0,4,0,their ability to manage their reputation online (including what others post about them),their assurance that they are not not alone and have others to depend on,41,49,4,1.0,0.0,0.0,positive,1,0,positive
16,49,,,,,all,2.0,0,0,5,0,the presence and experience of love in their life,their assurance that they are not not alone and have others to depend on,16,49,5,1.0,0.0,0.0,positive,1,0,positive
46,42,,,,,all,1.75,0,0,4,0,their ability to face and overcome challenges,their ability to cope with feelings of being lonely,46,42,4,1.0,0.0,0.0,positive,1,0,positive
40,4,,,,,all,2.0,0,0,3,1,their ability to cope with and overcome hardship or challenges in their life,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",40,4,3,1.0,0.0,0.0,positive,1,0,positive
30,24,,,,,all,2.6,0,0,4,0,their ability to compare their life to other people's lives,their awareness of other people's lives and experiences,30,24,4,1.0,0.0,0.0,positive,1,0,positive
69,7,,,,,all,2.25,1,0,3,0,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest","the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",69,7,4,0.75,0.0,0.25,positive,1,0,positive
42,58,,,,,all,2.5,0,3,1,0,their ability to cope with feelings of being lonely,their belief that everyone is better off than they are,42,58,4,0.25,0.75,0.0,negative,0,1,positive
1,74,,,,,all,2.25,1,0,3,0,their access to trusted information about mental health,their ability to consider the purpose and meaning of a good life,1,74,4,0.75,0.0,0.25,positive,1,0,positive
0,4,,,,,all,2.0,0,0,3,0,"their access to trusted information about mental, physical and sexual health & development","their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",0,4,3,1.0,0.0,0.0,positive,1,0,positive
59,51,,,,,all,2.75,0,1,3,0,their level of self confidence,their ability to take a long term perspective during challenging times,59,51,4,0.75,0.25,0.0,positive,1,0,positive
48,76,,,,,all,2.6666666666666665,0,0,3,0,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",their ability to recognize when they're going gown down a trap of negative content or comments,48,76,3,1.0,0.0,0.0,positive,1,0,positive
45,35,,,,,all,2.75,1,0,3,0,their ability to disconnect from electronic devices,their ability to recover from negative or adverse events that happen to them (online or in person),45,35,4,0.75,0.0,0.25,positive,1,0,positive
43,41,,,,,all,3.0,0,1,3,0,their ability to find others like them,their ability to manage their reputation online (including what others post about them),43,41,4,0.75,0.25,0.0,positive,1,0,positive
8,71,,,,,all,2.333333333333333,0,0,3,0,their having close friends,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",8,71,3,1.0,0.0,0.0,positive,1,0,positive
8,10,,,,,all,2.75,1,3,0,0,their having close friends,the time they spend with others online,8,10,4,0.0,0.75,0.25,negative,0,1,positive
40,71,,,,,all,2.25,1,0,3,0,their ability to cope with and overcome hardship or challenges in their life,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",40,71,4,0.75,0.0,0.25,positive,1,0,positive
74,62,,,,,all,2.5,0,4,0,0,their ability to consider the purpose and meaning of a good life,"their desire for popularity (likes, followers, shares)",74,62,4,0.0,1.0,0.0,negative,0,1,positive
42,33,,,,,all,2.333333333333333,0,0,3,0,their ability to cope with feelings of being lonely,their ability to engage with systems and institutions designed to support them,42,33,3,1.0,0.0,0.0,positive,1,0,positive
53,64,,,,,all,2.75,0,0,4,0,their ability to recognize mental health challenges they should seek support for,their ability to recover and learn from their mistakes,53,64,4,1.0,0.0,0.0,positive,1,0,positive
55,62,,,,,all,2.4,1,0,4,0,their ability to know the benefit of sharing information online,"their desire for popularity (likes, followers, shares)",55,62,5,0.8,0.0,0.2,positive,1,0,positive
52,70,,,,,all,2.25,1,0,3,0,the amount of external recognition or validation they receive for something good they did,their ability to explore their identity safely,52,70,4,0.75,0.0,0.25,positive,1,0,positive
29,35,,,,,all,2.25,1,3,0,0,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",their ability to recover from negative or adverse events that happen to them (online or in person),29,35,4,0.0,0.75,0.25,negative,0,1,positive
16,59,,,,,all,2.5,1,0,3,0,the presence and experience of love in their life,their level of self confidence,16,59,4,0.75,0.0,0.25,positive,1,0,positive
1,65,,,,,all,2.5,1,0,3,0,their access to trusted information about mental health,their ability to empathize with and understand other perspectives,1,65,4,0.75,0.0,0.25,positive,1,0,positive
50,26,,,,,all,2.75,1,0,3,0,their ability to evaluate the emotional risk before an action they want to take,"their exposure to positive parenting (consistent, respectful, supportive)",50,26,4,0.75,0.0,0.25,positive,1,0,positive
24,65,,,,,all,2.5,1,0,3,0,their awareness of other people's lives and experiences,their ability to empathize with and understand other perspectives,24,65,4,0.75,0.0,0.25,positive,1,0,positive
6,65,,,,,all,2.75,1,0,3,0,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",their ability to empathize with and understand other perspectives,6,65,4,0.75,0.0,0.25,positive,1,0,positive
35,7,,,,,all,2.5,1,0,3,0,their ability to recover from negative or adverse events that happen to them (online or in person),"the time they spend doing something physical (working, sports, volunteering, being outdoors, etc)",35,7,4,0.75,0.0,0.25,positive,1,0,positive
37,76,,,,,all,2.0,1,0,3,0,their ability to cope with anxious feelings,their ability to recognize when they're going gown down a trap of negative content or comments,37,76,4,0.75,0.0,0.25,positive,1,0,positive
39,12,,,,,all,2.5,1,0,3,0,their ability to control and moderate the content they process online,the time they spend with friends in person,39,12,4,0.75,0.0,0.25,positive,1,0,positive
2,58,,,,,all,2.0,1,3,0,0,their access to mental health resources,their belief that everyone is better off than they are,2,58,4,0.0,0.75,0.25,negative,0,1,positive
46,52,,,,,all,2.0,1,0,3,0,their ability to face and overcome challenges,the amount of external recognition or validation they receive for something good they did,46,52,4,0.75,0.0,0.25,positive,1,0,positive
58,37,,,,,all,2.25,1,3,0,0,their belief that everyone is better off than they are,their ability to cope with anxious feelings,58,37,4,0.0,0.75,0.25,negative,0,1,positive
39,57,,,,,all,2.5,1,0,3,0,their ability to control and moderate the content they process online,their belief that they are part of a community,39,57,4,0.75,0.0,0.25,positive,1,0,positive
34,43,,,,,all,2.0,1,0,3,0,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",their ability to find others like them,34,43,4,0.75,0.0,0.25,positive,1,0,positive
57,58,,,,,all,2.25,1,3,0,0,their belief that they are part of a community,their belief that everyone is better off than they are,57,58,4,0.0,0.75,0.25,negative,0,1,positive
24,9,,,,,all,2.0,1,0,3,0,their awareness of other people's lives and experiences,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),24,9,4,0.75,0.0,0.25,positive,1,0,positive
70,71,,,,,all,2.0,1,0,4,0,their ability to explore their identity safely,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",70,71,5,0.8,0.0,0.2,positive,1,0,positive
3,14,,,,,all,2.25,0,0,4,0,their willingness to use mental health resources,their ability to tell their friends about their life and experiences,3,14,4,1.0,0.0,0.0,positive,1,0,positive
59,35,,,,,all,2.75,0,0,4,0,their level of self confidence,their ability to recover from negative or adverse events that happen to them (online or in person),59,35,4,1.0,0.0,0.0,positive,1,0,positive
64,70,,,,,all,2.75,0,0,4,0,their ability to recover and learn from their mistakes,their ability to explore their identity safely,64,70,4,1.0,0.0,0.0,positive,1,0,positive
69,56,,,,,all,2.2,0,0,5,0,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",their certainty that they matter to themself and to others,69,56,5,1.0,0.0,0.0,positive,1,0,positive
14,54,,,,,all,2.2,1,0,4,0,their ability to tell their friends about their life and experiences,"their ability to know who their real, trusted friends are",14,54,5,0.8,0.0,0.2,positive,1,0,positive
22,69,,,,,all,2.5,1,0,3,0,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest","their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",22,69,4,0.75,0.0,0.25,positive,1,0,positive
0,66,,,,,all,2.0,1,0,3,0,"their access to trusted information about mental, physical and sexual health & development",their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),0,66,4,0.75,0.0,0.25,positive,1,0,positive
17,57,,,,,all,2.0,0,0,4,0,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",their belief that they are part of a community,17,57,4,1.0,0.0,0.0,positive,1,0,positive
73,60,,,,,all,1.75,1,0,3,0,their ability to get enough sleep,their level of self-esteem,73,60,4,0.75,0.0,0.25,positive,1,0,positive
46,69,,,,,all,2.8,1,0,4,0,their ability to face and overcome challenges,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",46,69,5,0.8,0.0,0.2,positive,1,0,positive
65,19,,,,,all,2.6666666666666665,0,0,3,0,their ability to empathize with and understand other perspectives,the time they spend learning about their heritage and culture,65,19,3,1.0,0.0,0.0,positive,1,0,positive
17,8,,,,,all,2.2,1,0,4,0,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",their having close friends,17,8,5,0.8,0.0,0.2,positive,1,0,positive
15,65,,,,,all,2.25,0,0,4,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",their ability to empathize with and understand other perspectives,15,65,4,1.0,0.0,0.0,positive,1,0,positive
5,66,,,,,all,2.6666666666666665,0,0,3,0,"their access to resources of daily life (food, shelter, safe environment, money)",their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),5,66,3,1.0,0.0,0.0,positive,1,0,positive
22,33,,,,,all,2.75,0,1,3,0,"time they spend connecting with others toward a shared goal, mission, faith, culture, interest",their ability to engage with systems and institutions designed to support them,22,33,4,0.75,0.25,0.0,positive,1,0,positive
18,64,,,,,all,2.75,0,0,4,0,the number of places and groups of people where they are welcome and appreciated,their ability to recover and learn from their mistakes,18,64,4,1.0,0.0,0.0,positive,1,0,positive
44,55,,,,,all,2.6,0,0,5,0,their ability to control or manage personal information they disclose online,their ability to know the benefit of sharing information online,44,55,5,1.0,0.0,0.0,positive,1,0,positive
5,74,,,,,all,2.4,0,0,5,0,"their access to resources of daily life (food, shelter, safe environment, money)",their ability to consider the purpose and meaning of a good life,5,74,5,1.0,0.0,0.0,positive,1,0,positive
40,56,,,,,all,2.75,1,0,3,0,their ability to cope with and overcome hardship or challenges in their life,their certainty that they matter to themself and to others,40,56,4,0.75,0.0,0.25,positive,1,0,positive
57,4,,,,,all,2.6666666666666665,0,0,3,0,their belief that they are part of a community,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",57,4,3,1.0,0.0,0.0,positive,1,0,positive
41,59,,,,,all,2.75,0,0,4,0,their ability to manage their reputation online (including what others post about them),their level of self confidence,41,59,4,1.0,0.0,0.0,positive,1,0,positive
33,9,,,,,all,2.4,1,0,4,0,their ability to engage with systems and institutions designed to support them,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),33,9,5,0.8,0.0,0.2,positive,1,0,positive
2,53,,,,,all,2.25,0,0,4,0,their access to mental health resources,their ability to recognize mental health challenges they should seek support for,2,53,4,1.0,0.0,0.0,positive,1,0,positive
24,56,,,,,all,2.6666666666666665,0,0,3,0,their awareness of other people's lives and experiences,their certainty that they matter to themself and to others,24,56,3,1.0,0.0,0.0,positive,1,0,positive
9,27,,,,,all,2.75,1,0,3,0,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),their exposure to high quality news and current events,9,27,4,0.75,0.0,0.25,positive,1,0,positive
67,40,,,,,all,2.75,1,0,3,0,their ability to concentrate without interruption,their ability to cope with and overcome hardship or challenges in their life,67,40,4,0.75,0.0,0.25,positive,1,0,positive
21,62,,,,,all,2.6666666666666665,0,3,0,0,their ability to help others and/or contribute to something bigger than themselves,"their desire for popularity (likes, followers, shares)",21,62,3,0.0,1.0,0.0,negative,0,1,positive
17,40,,,,,all,2.6666666666666665,0,0,3,0,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",their ability to cope with and overcome hardship or challenges in their life,17,40,3,1.0,0.0,0.0,positive,1,0,positive
18,28,,,,,all,2.0,1,0,3,0,the number of places and groups of people where they are welcome and appreciated,"the frequency of positive feedback to their online activities (e.g., likes, applauses, positive comments)",18,28,4,0.75,0.0,0.25,positive,1,0,positive
29,67,,,,,all,2.5,1,3,0,0,"the frequency of negative feedback to their online activities (e.g., dislikes, thumbs down, negative comments)",their ability to concentrate without interruption,29,67,4,0.0,0.75,0.25,negative,0,1,positive
21,35,,,,,all,2.333333333333333,0,0,3,0,their ability to help others and/or contribute to something bigger than themselves,their ability to recover from negative or adverse events that happen to them (online or in person),21,35,3,1.0,0.0,0.0,positive,1,0,positive
17,49,,,,,all,2.5,0,0,3,1,"their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",their assurance that they are not not alone and have others to depend on,17,49,3,1.0,0.0,0.0,positive,1,0,positive
5,73,,,,,all,2.5,0,0,4,0,"their access to resources of daily life (food, shelter, safe environment, money)",their ability to get enough sleep,5,73,4,1.0,0.0,0.0,positive,1,0,positive
50,44,,,,,all,2.5,0,0,4,0,their ability to evaluate the emotional risk before an action they want to take,their ability to control or manage personal information they disclose online,50,44,4,1.0,0.0,0.0,positive,1,0,positive
74,59,,,,,all,3.0,0,0,3,0,their ability to consider the purpose and meaning of a good life,their level of self confidence,74,59,3,1.0,0.0,0.0,positive,1,0,positive
39,15,,,,,all,2.75,1,0,3,0,their ability to control and moderate the content they process online,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",39,15,4,0.75,0.0,0.25,positive,1,0,positive
2,40,,,,,all,2.6666666666666665,0,0,3,0,their access to mental health resources,their ability to cope with and overcome hardship or challenges in their life,2,40,3,1.0,0.0,0.0,positive,1,0,positive
13,18,,,,,all,2.5,0,0,4,0,their awareness of what's happening among their friends,the number of places and groups of people where they are welcome and appreciated,13,18,4,1.0,0.0,0.0,positive,1,0,positive
4,22,,,,,all,2.0,1,0,3,1,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially","time they spend connecting with others toward a shared goal, mission, faith, culture, interest",4,22,4,0.75,0.0,0.25,positive,1,0,positive
16,4,,,,,all,2.5,0,0,4,0,the presence and experience of love in their life,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",16,4,4,1.0,0.0,0.0,positive,1,0,positive
51,59,,,,,all,2.2,0,0,4,1,their ability to take a long term perspective during challenging times,their level of self confidence,51,59,4,1.0,0.0,0.0,positive,1,0,positive
33,6,,,,,all,2.5,0,0,4,0,their ability to engage with systems and institutions designed to support them,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",33,6,4,1.0,0.0,0.0,positive,1,0,positive
18,66,,,,,all,2.5,0,0,3,1,the number of places and groups of people where they are welcome and appreciated,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),18,66,3,1.0,0.0,0.0,positive,1,0,positive
4,24,,,,,all,2.75,0,1,3,0,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",their awareness of other people's lives and experiences,4,24,4,0.75,0.25,0.0,positive,1,0,positive
33,61,,,,,all,2.6666666666666665,0,0,3,0,their ability to engage with systems and institutions designed to support them,their belief that they will be found if they get lost,33,61,3,1.0,0.0,0.0,positive,1,0,positive
9,4,,,,,all,2.75,0,0,4,0,their ability to stay in touch with people (nearby or far away; friends and intergenerational members of community),"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",9,4,4,1.0,0.0,0.0,positive,1,0,positive
54,25,,,,,all,2.25,1,3,0,0,"their ability to know who their real, trusted friends are",their exposure to hurtful/hateful personal content (like mocking and bullying),54,25,4,0.0,0.75,0.25,negative,0,1,positive
72,6,,,,,all,2.6,1,0,4,0,their ability to relax when they're stressed,"the time they spend reading a book, creating art, making music, doing schoolwork, etc.",72,6,5,0.8,0.0,0.2,positive,1,0,positive
69,38,,,,,all,2.6,0,0,4,1,"their ability to develop proficiency at a hobby, instrument, game, business or other personal interest",their ability to control and moderate their time online,69,38,4,1.0,0.0,0.0,positive,1,0,positive
57,48,,,,,all,1.6666666666666667,0,0,3,0,their belief that they are part of a community,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",57,48,3,1.0,0.0,0.0,positive,1,0,positive
66,59,,,,,all,2.2,0,0,5,0,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),their level of self confidence,66,59,5,1.0,0.0,0.0,positive,1,0,positive
53,33,,,,,all,2.5,0,1,3,0,their ability to recognize mental health challenges they should seek support for,their ability to engage with systems and institutions designed to support them,53,33,4,0.75,0.25,0.0,positive,1,0,positive
65,53,,,,,all,2.5,0,0,4,0,their ability to empathize with and understand other perspectives,their ability to recognize mental health challenges they should seek support for,65,53,4,1.0,0.0,0.0,positive,1,0,positive
55,23,,,,,all,2.4,1,0,3,1,their ability to know the benefit of sharing information online,"their participation in positive events that are fun, joyous, and exciting",55,23,4,0.75,0.0,0.25,positive,1,0,positive
38,50,,,,,all,2.333333333333333,0,0,3,0,their ability to control and moderate their time online,their ability to evaluate the emotional risk before an action they want to take,38,50,3,1.0,0.0,0.0,positive,1,0,positive
33,72,,,,,all,2.25,1,0,3,0,their ability to engage with systems and institutions designed to support them,their ability to relax when they're stressed,33,72,4,0.75,0.0,0.25,positive,1,0,positive
54,17,,,,,all,2.5,0,0,4,0,"their ability to know who their real, trusted friends are","their having at least one positive adult relationship (with a parent, relative, teacher, coach, etc.)",54,17,4,1.0,0.0,0.0,positive,1,0,positive
15,30,,,,,all,2.333333333333333,0,0,3,0,"the time they spend with social groups (religious, volunteer, government, tribe, hobby, etc.)",their ability to compare their life to other people's lives,15,30,3,1.0,0.0,0.0,positive,1,0,positive
23,56,,,,,all,2.75,1,0,3,0,"their participation in positive events that are fun, joyous, and exciting",their certainty that they matter to themself and to others,23,56,4,0.75,0.0,0.25,positive,1,0,positive
56,75,,,,,all,2.25,1,0,3,0,their certainty that they matter to themself and to others,their ability to set goals and take actions towards those goals,56,75,4,0.75,0.0,0.25,positive,1,0,positive
72,41,,,,,all,2.25,1,0,3,0,their ability to relax when they're stressed,their ability to manage their reputation online (including what others post about them),72,41,4,0.75,0.0,0.25,positive,1,0,positive
5,10,,,,,all,2.4,1,0,4,0,"their access to resources of daily life (food, shelter, safe environment, money)",the time they spend with others online,5,10,5,0.8,0.0,0.2,positive,1,0,positive
0,75,,,,,all,2.0,1,0,3,1,"their access to trusted information about mental, physical and sexual health & development",their ability to set goals and take actions towards those goals,0,75,4,0.75,0.0,0.25,positive,1,0,positive
46,43,,,,,all,1.5,1,0,3,0,their ability to face and overcome challenges,their ability to find others like them,46,43,4,0.75,0.0,0.25,positive,1,0,positive
27,74,,,,,all,2.0,0,0,5,1,their exposure to high quality news and current events,their ability to consider the purpose and meaning of a good life,27,74,5,1.0,0.0,0.0,positive,1,0,positive
