Label,Tags,Category,Impact Measure,Opportunity Area,Description,Causal Cluster,Avg Keystone Score,Avg Keystone Score 2in,Upstream <<-->> Downstream,Avg Leverage,Avg 2-Degree Leverage,Avg 2-Degree Reach,Avg Keystone Score (Pctl),Avg Keystone Score 2in (Pctl),Upstream <<-->> Downstream (Pctl),Avg Leverage (Pctl),Avg 2-Degree Leverage (Pctl),Avg 2-Degree Reach (Pctl),Top Keystones (75pctl),Degree,Direct Incoming,Direct Outgoing,Frac Neg Out,Frac Neg In,Causal Cluster ID,ClusterCentrality,ClusterBridging,Name,id,x_tsne,y_tsne,x_spring,y_spring,Clustered_1_X,Clustered_1_Y,category_cluster_X,category_cluster_Y,causal cluster_X,causal cluster_Y,label,OriginalLabel,OriginalX,OriginalY,OriginalSize
their ability to find others like them,skill|growth|identity|understanding,Seeing Things Clearly ,Reduce Trauma & Effects of Trauma,empty,"""like them"" means people who share a common attribute, trait, hobby, intersest, outlook on life, etc.",Foundation,0.325062014,0.175840924,0.947301837,0.600124415,-0.027739154,0.921025974,50.33947368,49.92763158,75.85131579,40.08421053,43.17763158,68.83421053,No,68,34,34,0.058823529,0.029411765,Cluster_2,0.175437188,0.480412,their ability to find others like them,43,-0.192328587,0.232743785,-0.181807362,-0.516549495,1795.810685,-3036.33821,2638.766197,-2230.980667,2329.101886,-2673.397922,their ability to find others like them,their ability to find others like them,-0.192328587,0.232743785,10
their ability to recover and learn from their mistakes,harm|coping|healing|discipline|skill,How I View Myself,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.294830592,0.168361573,0.936740661,0.581568552,-0.031627157,0.917051948,44.46315789,46.74868421,69.59078947,35.48815789,40.01052632,66.24605263,No,67,36,31,0.032258065,0.083333333,Cluster_0,0.193839997,0.203768128,their ability to recover and learn from their mistakes,64,0.344057858,-0.252730817,0.245850046,-0.047998439,4731.616359,-478.3656273,4069.597042,994.0974373,1187.314133,1250.248587,their ability to recover and learn from their mistakes,their ability to recover and learn from their mistakes,0.344057858,-0.252730817,10
"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",relationship|trust|encouragement|resources,Exposure to the World,Reduce Trauma & Effects of Trauma,empty,"""trusted"" means you can rely on other people to help you",Proficiency,0.28871837,0.177314791,0.942160771,0.574717614,-0.026347224,0.921675325,43.29210526,50.78289474,73.14342105,33.67763158,44.23684211,69.20394737,No,75,37,38,0.026315789,0,Cluster_0,0.493981782,0.738359495,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",4,1.826370955,-0.350475818,-0.356355673,0.218392597,-1692.121057,-1509.678627,644.3038473,3970.76732,-606.3811641,2712.624741,"their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially","their access to help from trusted others to do something, learn something, or get through a hard time emotionally or financially",1.826370955,-0.350475818,10
their belief that they are part of a community,relationship|identity|comfort|trust,Exposure to the World,Enhance Development of Protective Factors ,empty,empty,Foundation,0.287903795,0.185510096,0.945534146,0.569876778,-0.021750719,0.930220779,43.22236842,55.43157895,74.47368421,32.61842105,48.29078947,74.92763158,No,77,38,39,0.051282051,0.026315789,Cluster_2,0.569916244,0.8539607,their belief that they are part of a community,57,0.252527595,-0.091942154,-0.565274033,-0.073336721,-1672.390873,-1802.470845,1287.830881,3766.976182,2928.669759,-2547.381112,their belief that they are part of a community,their belief that they are part of a community,0.252527595,-0.091942154,10
their ability to control and moderate their time online,discipline|skill|understanding|online,Seeing Things Clearly ,Encourage Prosocial Relationships,empty,empty,Engagement,0.280178713,0.11405123,0.887231443,0.629285697,-0.059079423,0.839974026,41.67631579,23.48421053,47.34605263,47.27236842,24.16315789,29.41578947,No,51,28,23,0.130434783,0.214285714,Cluster_1,0.030014439,-0.558877231,their ability to control and moderate their time online,38,-1.438925862,-0.549448669,0.659424913,-0.109647311,2438.972297,-3861.528663,3215.204735,-3553.769148,-1539.899239,-2820.588715,their ability to control and moderate their time online,their ability to control and moderate their time online,-1.438925862,-0.549448669,10
"the ability of ""the internet""  to forget or remove negative moments of their life so it's not forever accessible",highlights|online|identity|encouragement,Exposure to the World,Enhance Development of Protective Factors ,empty,empty,Engagement,0.270486713,0.207762062,0.294898252,0.905649495,0.336052459,0.70038961,40.90657895,49.81842105,2.172368421,95.83947368,92.93947368,6.439473684,No,18,5,13,0.230769231,0.6,Cluster_1,-1.918385956,-1.52365721,"the ability of ""the internet""  to forget or remove negative moments of their life so it's not forever accessible",32,-1.289567351,0.176699758,1,0.6904211,-2001.798764,-4118.449968,1148.95976,4555.833491,-1203.248691,-3936.788664,"the ability of ""the internet""  to forget or remove negative moments of their life so it's not forever accessible","the ability of ""the internet""  to forget or remove negative moments of their life so it's not forever accessible",-1.289567351,0.176699758,10
their ability to control or manage personal information they disclose online,discipline|skill|understanding|online,Personal Skills ,Reduce Trauma & Effects of Trauma,empty,empty,Foundation,0.266759102,0.10928285,0.703889067,0.783275495,-0.000557771,0.732896104,40.18157895,26.02236842,15.82105263,80.24868421,51.21710526,9.663157895,No,26,13,13,0.076923077,0.076923077,Cluster_2,-1.402752437,-1.678279102,their ability to control or manage personal information they disclose online,44,-1.073481917,0.084480375,0.496889565,0.89287516,722.2980832,2952.042842,-2837.588607,-4152.514403,4891.251297,234.1754729,their ability to control or manage personal information they disclose online,their ability to control or manage personal information they disclose online,-1.073481917,0.084480375,10
their awareness of what's happening among their friends,relationship|exposure|understanding|comfort,Exposure to the World,Encourage Prosocial Relationships,empty,"""friends"" means people you actually care about",Proficiency,0.262967842,0.124314498,0.918181471,0.594614019,-0.054015679,0.863623377,38.43947368,26.73552632,60.46315789,38.75,24.85657895,37.45789474,No,55,33,22,0.045454545,0.03030303,Cluster_0,0.083850891,-1.232550602,their awareness of what's happening among their friends,13,1.283906221,1.04103148,-0.837959642,-0.263020558,-4155.378882,-3557.231402,1720.275008,3682.298624,1349.932563,1891.154157,their awareness of what's happening among their friends,their awareness of what's happening among their friends,1.283906221,1.04103148,10
their belief that they will be found if they get lost,trust|comfort|identity|understanding,Exposure to the World,Encourage Prosocial Relationships,empty,empty,Foundation,0.259509295,0.097707407,0.902282466,0.633460104,-0.06811226,0.816818182,37.79078947,17.34078947,53.74473684,48.29868421,19.63684211,21.18157895,No,45,27,18,0,0.074074074,Cluster_2,-0.387232574,-1.112612172,their belief that they will be found if they get lost,61,0.907233477,-0.315727621,-0.583431225,0.640299078,-2970.026503,-1774.861181,2095.56365,4293.121267,3201.820136,-315.5521513,their belief that they will be found if they get lost,their belief that they will be found if they get lost,0.907233477,-0.315727621,10
their ability to evaluate the emotional risk before an action they want to take,skill|growth|discipline|understanding,Personal Skills ,Reduce Trauma & Effects of Trauma,empty,"""evaluate"" means considering in advance what might happen",Foundation,0.256017936,0.156007235,0.938774761,0.562743513,-0.037563948,0.902077922,37.05921053,40.11447368,70.99473684,30.93552632,34.85921053,57.01447368,No,68,37,31,0.032258065,0.054054054,Cluster_2,0.581772667,-0.093202413,their ability to evaluate the emotional risk before an action they want to take,50,0.131373107,-0.527172089,0.208625932,0.46394642,-723.2411565,3240.88321,-2958.320462,-3003.358652,4164.865028,208.1464117,their ability to evaluate the emotional risk before an action they want to take,their ability to evaluate the emotional risk before an action they want to take,0.131373107,-0.527172089,10
their certainty that they matter to themself and to others,identity|skill|growth|comfort,Exposure to the World,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.246859478,0.204683806,0.931996401,0.531546721,-0.015540935,0.952337662,35.35131579,65.33552632,66.50921053,23.33026316,55.00789474,87.73684211,No,85,43,42,0.071428571,0.11627907,Cluster_0,0.962972518,1.197244349,their certainty that they matter to themself and to others,56,1.707801342,-0.906909764,-0.271433263,0.020196321,-2362.619376,-3804.165036,1816.214261,3983.918779,646.4251304,3787.44936,their certainty that they matter to themself and to others,their certainty that they matter to themself and to others,1.707801342,-0.906909764,10
their awareness of other people's lives and experiences,exposure|understanding|relationship,Exposure to the World,Encourage Prosocial Relationships,empty,"""others"" means friends and just other people who may be not necessarily be your friends, e.g., followers.",Proficiency,0.246644051,0.124318674,0.912817755,0.58115927,-0.054390964,0.862246753,35.21447368,26.22894737,57.60131579,35.43552632,24.34605263,36.68421053,No,58,34,24,0.041666667,0.029411765,Cluster_0,0.511103873,-1.575332368,their awareness of other people's lives and experiences,24,0.443232238,0.253305167,-0.463331513,-0.650776234,-2748.574306,-2842.089,722.7417952,1843.995786,-812.5724562,3266.859559,their awareness of other people's lives and experiences,their awareness of other people's lives and experiences,0.443232238,0.253305167,10
their ability to face and overcome challenges,skill|growth|coping|resources|discipline,Connected to People,Encourage Prosocial Relationships,empty,empty,Foundation,0.229418178,0.164407106,0.965240582,0.536262885,-0.035787638,0.916402597,32.22368421,43.90394737,85.50131579,24.54342105,36.30921053,65.71315789,No,76,41,35,0.028571429,0.048780488,Cluster_2,0.715121673,0.520385843,their ability to face and overcome challenges,46,0.441654891,-1.179918885,-0.072303894,-0.167481324,-23.42642185,-108.1988677,-3542.615674,849.997872,3535.496487,-557.1611485,their ability to face and overcome challenges,their ability to face and overcome challenges,0.441654891,-1.179918885,10
their ability to compare their life to other people's lives,understanding|skill|growth|exposure,Taking Care of Myself,Encourage Prosocial Relationships,empty,empty,Engagement,0.220035524,0.075462546,0.764412667,0.712323105,-0.061986501,0.732948052,32.13552632,14.51973684,21.47763158,66.58815789,29.96842105,8.455263158,No,32,18,14,0.214285714,0.111111111,Cluster_1,-0.894162141,-1.442457137,their ability to compare their life to other people's lives,30,-0.768143177,0.649608612,0.219095835,-0.858140478,-4554.569497,461.2998478,-4168.667656,-1847.306214,-3070.051232,-3119.242106,their ability to compare their life to other people's lives,their ability to compare their life to other people's lives,-0.768143177,0.649608612,10
"the influence of online content and personalities on them and their identity (influencers, celebrities)",understanding|misperception|skill|exposure,Taking Care of Myself,Enhance Development of Protective Factors ,empty,empty,Engagement,0.220274992,0.095572754,0.746042877,0.71080379,-0.02516159,0.729207792,31.87105263,21.625,18.89605263,66.09605263,44.61973684,8.832894737,No,32,18,14,0.714285714,0.722222222,Cluster_1,-1.029487218,-1.229567261,"the influence of online content and personalities on them and their identity (influencers, celebrities)",36,-1.005035281,-0.718025029,0.770535996,0.497395427,-3403.483606,2493.805035,1051.357716,603.6196866,-1765.269096,234.684778,"the influence of online content and personalities on them and their identity (influencers, celebrities)","the influence of online content and personalities on them and their identity (influencers, celebrities)",-1.005035281,-0.718025029,10
"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",exposure|offline|time|encouragement,Connected to People,Encourage Prosocial Relationships,empty,"""experiences"" means exposure to new perspectives, new ways of seeing your community, the country and the world.",Engagement,0.227932367,0.156142754,0.937500374,0.540784726,-0.039441808,0.903961039,31.86184211,39.86052632,69.325,25.65263158,33.89210526,58.26315789,No,69,40,29,0.068965517,0.075,Cluster_1,0.954161979,0.26650974,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",34,-0.245093703,-1.743529677,0.31181139,0.069476877,2128.316449,25.73877235,-4781.478602,-887.1686443,-1563.772471,-2138.699116,"their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)","their time to appreciate new quality experiences (nature, culture, sports, learnings, personal insights)",-0.245093703,-1.743529677,10
their ability to concentrate without interruption,skill|discipline,Personal Skills ,Reduce Trauma & Effects of Trauma,empty,empty,Engagement,0.209292721,0.062728575,0.85150252,0.686355004,-0.091641216,0.734688312,30.2,11.74473684,37.86710526,60.82631579,19.20526316,9.568421053,No,34,20,14,0,0.1,Cluster_1,-0.721252792,-1.460321252,their ability to concentrate without interruption,67,-0.226835728,-1.450153589,0.45903727,0.630044467,31.54928569,4742.819882,-720.9402975,-4154.603197,-3408.216498,-196.1809573,their ability to concentrate without interruption,their ability to concentrate without interruption,-0.226835728,-1.450153589,10
their assurance that they are not not alone and have others to depend on,relationship|comfort|trust,How I View Myself,Enhance Development of Protective Factors ,empty,empty,Proficiency,0.210971729,0.200135544,0.958586266,0.509685182,-0.01896093,0.951441558,28.89342105,63.65526316,81.15131579,18.63815789,52.64342105,88.01184211,No,92,46,46,0.02173913,0.02173913,Cluster_0,1.128009974,1.911103389,their assurance that they are not not alone and have others to depend on,49,0.272155344,-0.26522547,-0.147005035,0.096396624,2631.243079,-79.91249469,4626.693735,906.5097905,-2371.945331,2330.397452,their assurance that they are not not alone and have others to depend on,their assurance that they are not not alone and have others to depend on,0.272155344,-0.26522547,10
"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",relationship|comfort|trust,Seeing Things Clearly ,Enhance Development of Protective Factors ,empty,empty,Proficiency,0.208106396,0.191826925,0.944320995,0.511684379,-0.020920299,0.94,28.225,58.87763158,73.37236842,19.01842105,49.95,80.925,No,86,45,41,0.024390244,0.044444444,Cluster_0,1.122122423,0.983186957,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",47,0.059802324,0.568630993,-0.21570124,-0.096445796,152.8031403,-3204.552415,1851.286156,-2949.580524,-88.16769933,3395.843532,"their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)","their certainty that others ""have their back"" (will support them in the event of mistakes or hardships)",0.059802324,0.568630993,10
"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",skill|identity|comfort|trust,Access to Resources,Enhance Development of Protective Factors ,empty,empty,Engagement,0.203434641,0.091882593,0.936639893,0.565534721,-0.081475859,0.828220779,27.56447368,15.88947368,69.82236842,31.67368421,13.46710526,25.56447368,No,52,34,18,0.055555556,0.088235294,Cluster_1,0.306513454,-0.854635479,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",71,-0.096712939,-0.643925488,0.385417984,-0.74998537,3092.756878,3569.934573,-2899.724953,4125.173369,599.288674,-3719.646775,"their ability to pursue personal interests that people around them might not share (an instrument, a hobby)","their ability to pursue personal interests that people around them might not share (an instrument, a hobby)",-0.096712939,-0.643925488,10
their ability to recover from negative or adverse events that happen to them (online or in person),coping|skill|healing,How I View Myself,Enhance Development of Protective Factors ,empty,empty,Engagement,0.201759375,0.184520358,0.944092085,0.508485181,-0.02611946,0.935519481,27.175,54.825,73.61578947,18.43026316,45.63289474,78.26973684,No,83,45,38,0.052631579,0.066666667,Cluster_1,1.484050086,1.320564523,their ability to recover from negative or adverse events that happen to them (online or in person),35,-1.465453982,0.121845022,0.001190267,0.237256767,4379.345125,-2047.441248,4385.702285,1724.619206,997.1875793,-2518.740955,their ability to recover from negative or adverse events that happen to them (online or in person),their ability to recover from negative or adverse events that happen to them (online or in person),-1.465453982,0.121845022,10
their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),coping|skill|discipline,Connected to People,Encourage Prosocial Relationships,empty,empty,Proficiency,0.200613778,0.14314449,0.948778623,0.525887548,-0.047299748,0.893779221,26.80263158,33.18947368,76.03947368,22.26578947,27.40921053,51.90921053,No,72,41,31,0.064516129,0.048780488,Cluster_0,0.453541611,0.397972093,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),66,0.311253548,-0.376532108,-0.120115047,0.561665903,170.8381136,1123.349561,-2669.299464,113.7376857,1569.607095,2516.405389,their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),their level of resilience (being flexible and agile in response to events and knowing they can get up if they fall down),0.311253548,-0.376532108,10
their ability to empathize with and understand other perspectives,understand|exposure|skill,Personal Skills ,Reduce Trauma & Effects of Trauma,empty,empty,Proficiency,0.199257637,0.170648653,0.923455923,0.512874673,-0.031323257,0.922207792,26.79736842,47.55263158,61.72894737,19.37368421,39.86578947,69.44210526,No,81,44,37,0.027027027,0.090909091,Cluster_0,1.462052987,-0.442376661,their ability to empathize with and understand other perspectives,65,0.174936831,0.240583643,-0.604339312,-0.239913628,-325.4852697,2103.985473,-71.64305332,-2227.835411,1103.557457,3917.30041,their ability to empathize with and understand other perspectives,their ability to empathize with and understand other perspectives,0.174936831,0.240583643,10
their ability to cope with anxious feelings,coping|skill|discipline,Personal Skills ,Encourage Prosocial Relationships,empty,"""anxious feelings"" might be feeling nervous, or worrying too much, or having trouble relaxing",Engagement,0.199564501,0.159454944,0.97830333,0.516924919,-0.03850082,0.911363636,26.51447368,41.54078947,91.72368421,20.19868421,34.34605263,62.62105263,No,75,43,32,0.03125,0.069767442,Cluster_1,1.264480753,0.557855496,their ability to cope with anxious feelings,37,0.167393908,-0.706988096,0.110467469,0.560168117,-1827.460743,3481.790815,-1470.441191,-3933.813165,-924.4254638,-3026.623784,their ability to cope with anxious feelings,their ability to cope with anxious feelings,0.167393908,-0.706988096,10
"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",understanding|skill|growth|relationship,Seeing Things Clearly ,Enhance Development of Protective Factors ,empty,"""exploitative"" means one-way relationships where you're being used and not loved",Proficiency,0.183662004,0.116982649,0.946527079,0.524978585,-0.064032863,0.866753247,23.78026316,23.20263158,75.16710526,22.29605263,18.72236842,38.76710526,No,63,40,23,0,0.1,Cluster_0,0.74415785,-1.324571401,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",48,1.240651608,0.53140384,-0.727312008,0.426402932,1509.596227,-3650.914255,3685.107829,-2005.91771,1450.12815,581.3250321,"their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)","their ability to recognize exploitative relationships (gaslighting, manipulation, controlling)",1.240651608,0.53140384,10
their ability to consider the purpose and meaning of a good life,understanding|skill|identity,Connected to People,Encourage Prosocial Relationships,empty,empty,Engagement,0.179362312,0.180861142,0.936601702,0.494933188,-0.028113189,0.932714286,23.10526316,52.42894737,68.26315789,15.61842105,43.25263158,76.22631579,No,85,47,38,0.052631579,0.063829787,Cluster_1,1.53073973,1.531422096,their ability to consider the purpose and meaning of a good life,74,-0.831779778,0.715403616,0.114548881,-0.156792155,-1611.905691,-394.9190652,-2710.657977,36.60210625,-1705.57651,288.146803,their ability to consider the purpose and meaning of a good life,their ability to consider the purpose and meaning of a good life,-0.831779778,0.715403616,10
their ability to tell their friends about their life and experiences,relationship|encouragement|trust|comfort,Exposure to the World,Reduce Trauma & Effects of Trauma,empty,"""friends"" means people you actually care about",Proficiency,0.17402599,0.152851218,0.972577391,0.499804426,-0.043058258,0.907545455,22.31578947,38.44605263,89.34473684,16.75,30.9,60.38947368,No,74,45,29,0.034482759,0.111111111,Cluster_0,1.207504892,-0.82388931,their ability to tell their friends about their life and experiences,14,0.185416475,0.203205705,-0.370018148,-0.468213443,-3110.846998,-2727.690134,1819.053813,2354.553932,-283.2284347,1768.65803,their ability to tell their friends about their life and experiences,their ability to tell their friends about their life and experiences,0.185416475,0.203205705,10
their level of self confidence,skill|growth,Access to Resources,Enhance Development of Protective Factors ,empty,empty,Engagement,0.171106384,0.174526201,0.950123508,0.490785836,-0.030497133,0.928701299,21.98684211,50.18947368,76.46973684,14.99605263,41.18026316,74.10657895,No,84,47,37,0.027027027,0.127659574,Cluster_1,1.290872753,1.942425834,their level of self confidence,59,-0.213977709,-0.254947841,-0.050541137,-0.028621791,2253.079029,2910.054382,-2064.165302,3071.029525,-1611.879054,-1493.812403,their level of self confidence,their level of self confidence,-0.213977709,-0.254947841,10
their ability to relax when they're stressed,skill|growth,How I View Myself,Enhance Development of Protective Factors ,empty,empty,Engagement,0.170376235,0.100212326,0.925772374,0.524613833,-0.075546203,0.84387013,21.77894737,17.87763158,63.35921053,22.20131579,14.55,30.38026316,No,62,39,23,0.043478261,0.102564103,Cluster_1,0.704263112,-0.201689482,their ability to relax when they're stressed,72,-0.053133391,-0.497268856,0.635516898,0.285077072,4084.422264,-621.2626831,3437.611216,973.7389208,-298.6180335,-1351.447294,their ability to relax when they're stressed,their ability to relax when they're stressed,-0.053133391,-0.497268856,10
their ability to set goals and take actions towards those goals,skill|growth|discipline,How I View Myself,Enhance Development of Protective Factors ,empty,empty,Engagement,0.149048124,0.1127725,0.962251319,0.498086368,-0.066465639,0.860896104,18.23684211,21.45657895,84.21842105,16.59868421,17.24868421,36.04605263,No,69,43,26,0.038461538,0.069767442,Cluster_1,1.309374733,-0.366310633,their ability to set goals and take actions towards those goals,75,-0.961178362,-1.489732146,0.460245613,0.206911313,3960.012979,-1232.404152,4919.518506,26.65749763,-2525.151359,-1900.768864,their ability to set goals and take actions towards those goals,their ability to set goals and take actions towards those goals,-0.961178362,-1.489732146,10
their ability to recognize when they're going gown down a trap of negative content or comments,skill|understanding|growth,Connected to People,Encourage Prosocial Relationships,empty,empty,Engagement,0.145585675,0.063448361,0.894060574,0.537345873,-0.104983678,0.781025974,18.14605263,9.601315789,49.48552632,25.65,8.726315789,15.26842105,No,51,35,16,0,0.085714286,Cluster_1,0.487649141,-1.223877377,their ability to recognize when they're going gown down a trap of negative content or comments,76,-0.272417486,-0.487751663,0.048420976,0.909108175,1190.248603,1860.483036,-4333.496854,1130.300528,-1349.627916,-2042.086758,their ability to recognize when they're going gown down a trap of negative content or comments,their ability to recognize when they're going gown down a trap of negative content or comments,-0.272417486,-0.487751663,10
their ability to explore their identity safely,comfort|growth|identity|trust|exposure,Personal Skills ,Enhance Development of Protective Factors ,empty,empty,Foundation,0.13907239,0.155579168,0.965984254,0.473272422,-0.042675155,0.90938961,16.75263158,39.42631579,85.81315789,11.78289474,31.74342105,61.84210526,No,78,48,30,0,0.0625,Cluster_2,1.376812792,-0.131735264,their ability to explore their identity safely,70,-0.009620113,-0.307620168,-0.227262229,-0.376501399,898.7382804,4053.076718,-1463.148006,-4336.971327,1524.513697,-1519.592128,their ability to explore their identity safely,their ability to explore their identity safely,-0.009620113,-0.307620168,10
their ability to cope with and overcome hardship or challenges in their life,coping|exposure|understanding|skill|growth,Taking Care of Myself,Encourage Prosocial Relationships,empty,empty,Proficiency,0.130266999,0.151406228,0.952840038,0.4682984,-0.044086209,0.90612987,15.66842105,37.29868421,77.96973684,11.13157895,29.93421053,59.26842105,No,80,49,31,0,0.040816327,Cluster_0,1.334145472,-0.247097083,their ability to cope with and overcome hardship or challenges in their life,40,0.276109159,-0.412063807,-0.422935439,0.005424019,-3240.6186,241.6721519,-199.7480215,-617.1808365,-2236.733745,2345.135814,their ability to cope with and overcome hardship or challenges in their life,their ability to cope with and overcome hardship or challenges in their life,0.276109159,-0.412063807,10
their ability to help others and/or contribute to something bigger than themselves,understanding|trust|encouragement|discipline,Personal Skills ,Enhance Development of Protective Factors ,empty,empty,Proficiency,0.126370868,0.173993232,0.953097,0.45967994,-0.031818069,0.92887013,15.26973684,49.37894737,77.825,9.739473684,40.16052632,74.03815789,No,86,51,35,0.057142857,0.039215686,Cluster_0,1.692075847,-0.17912574,their ability to help others and/or contribute to something bigger than themselves,21,0.211244494,1.173496723,-0.511115836,-0.349461567,-507.277305,1666.437076,-14.58701326,-3050.596593,-964.3809178,3229.398225,their ability to help others and/or contribute to something bigger than themselves,their ability to help others and/or contribute to something bigger than themselves,0.211244494,1.173496723,10
their ability to cope with feelings of being lonely,coping|skill|growth|healing,Seeing Things Clearly ,Encourage Prosocial Relationships,empty,empty,Engagement,0.122061255,0.134845956,0.948897825,0.466701514,-0.052821633,0.888532468,14.25131579,30.58157895,75.73684211,10.87105263,24.56710526,49.50394737,No,73,48,25,0.08,0.104166667,Cluster_1,1.266563951,0.342229935,their ability to cope with feelings of being lonely,42,-0.034877826,-0.47200042,-0.184786495,0.699581378,2187.997883,-3168.503014,3504.123219,-2025.230017,-2292.863243,-1677.217039,their ability to cope with feelings of being lonely,their ability to cope with feelings of being lonely,-0.034877826,-0.47200042,10
"their participation in positive events that are fun, joyous, and exciting",offline|relationship|exposure|comfort|identity,Connected to People,Encourage Prosocial Relationships,empty,empty,Engagement,0.094005361,0.143716928,0.961491023,0.441559157,-0.049487703,0.898792208,11.05921053,34.74736842,82.63947368,7.463157895,27.59868421,56.17894737,No,79,52,27,0.037037037,0.057692308,Cluster_1,1.779819614,0.206694822,"their participation in positive events that are fun, joyous, and exciting",23,0.035869017,-0.306571513,0.324825717,-0.220331905,2061.289823,-2005.897815,-3153.247623,1810.439877,-572.069775,-3657.526007,"their participation in positive events that are fun, joyous, and exciting","their participation in positive events that are fun, joyous, and exciting",0.035869017,-0.306571513,10
their level of self-esteem,skill|growth,Connected to People,Encourage Prosocial Relationships,empty,empty,Foundation,0.088807883,0.199473042,0.973779759,0.430459604,-0.02058195,0.953454545,10.50789474,63.24078947,89.02894737,5.711842105,51.43947368,89.17105263,No,105,56,49,0.040816327,0.071428571,Cluster_2,2.049169945,1.680899017,their level of self-esteem,60,-0.585649312,-0.307998091,-0.006048647,0.126011034,1516.931755,-536.9783072,-1407.429669,941.894595,3302.733698,-1338.122347,their level of self-esteem,their level of self-esteem,-0.585649312,-0.307998091,10
